id,shapeName,year,op,inv,pop,ent,tc,ntl
16,Tábara Arriba,2,0.0,0.0,20964.73047,0,0.0,0.157248447
17,Vicente Noble,2,0.0,0.0,29553.0,0,0.0,0.342477819
18,Consuelo,2,0.0,0.0,28077.24219,0,0.0,1.103217236
19,Puñal,2,5369.74,90199989.8,56669.47266,34,8267.92,5.686986197
20,Juan Santiago,2,0.0,0.0,4132.325195,0,0.0,0.143757605
21,La Descubierta,2,0.0,0.0,10021.2002,0,0.0,0.156894224
22,Boca Chica,2,15587.53,367242536.4,170204.9063,36,27155.61,7.544083796
23,Tenares,2,0.0,0.0,28788.53125,0,0.0,0.604398515
24,Villa Montellano,2,0.0,0.0,20837.14844,0,0.0,0.673583772
25,Sosúa,2,0.0,0.0,48901.22266,0,0.0,0.767588193
26,Las Charcas,2,0.0,0.0,12570.27539,0,0.0,0.186620507
27,Castañuelas,2,0.0,0.0,15152.24414,0,0.0,0.44535489
28,Jarabacoa,2,0.0,0.0,57143.70703,0,0.0,0.337840657
29,Jima Abajo,2,0.0,0.0,41994.53516,0,0.0,0.764108945
30,Pimentel,2,0.0,0.0,17536.11719,0,0.0,0.360090803
31,Yamasá,2,0.0,0.0,54898.04688,0,0.0,0.139688267
32,Sabana Iglesia,2,0.0,0.0,15186.36426,0,0.0,0.873163369
33,Dajabón,2,0.0,0.0,44385.53906,0,0.0,0.430209345
34,Los Cacaos,2,0.0,0.0,10506.66797,0,0.0,0.034828537
35,El Peñón,2,0.0,0.0,3509.01709,0,0.0,0.149442782
36,Fantino,2,0.0,0.0,22402.7168,0,0.0,0.471897443
37,Guananico,2,0.0,0.0,6590.06543,0,0.0,0.309981714
38,Hato Mayor,2,1666.0,1401975.0,69621.0625,1,5000.0,0.301565695
39,Tamboril,2,4794.85,141866975.2,57797.59375,15,8671.34,3.942533981
